JOBID	ST	WORKDIR	NAME	RESULT
17271964	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_59514-Rb1In4	icsd_59514-Rb1In4.sh	?
17271965	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_181937-Pr2Mn2Se2O3	icsd_181937-Pr2Mn2Se2O3.sh	?
17271966	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_614209-Tb1Fe2B2	icsd_614209-Tb1Fe2B2.sh	?
17271967	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_637442-Yb1Ni2Ge2	icsd_637442-Yb1Ni2Ge2.sh	?
17271968	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_73651-Nd1Co2P2	icsd_73651-Nd1Co2P2.sh	?
17271969	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_2903-Bi2Se1O2	icsd_2903-Bi2Se1O2.sh	?
17271970	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_245981-Cs1Li2Br3	icsd_245981-Cs1Li2Br3.sh	?
17271971	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_150701-Sr2Fe1Mo1O6	icsd_150701-Sr2Fe1Mo1O6.sh	?
17271972	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610591-Gd1Ni2As2	icsd_610591-Gd1Ni2As2.sh	?
17271973	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_619462-Ca1O2	icsd_619462-Ca1O2.sh	?
17271974	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_627701-Ho3Cu4Ge4	icsd_627701-Ho3Cu4Ge4.sh	?
17271975	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_103993-Ti1Ga3	icsd_103993-Ti1Ga3.sh	?
17271976	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_150149-La1B2Rh2C1	icsd_150149-La1B2Rh2C1.sh	?
17271977	SS	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_636072-Gd1Ni2Sb2	icsd_636072-Gd1Ni2Sb2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_624959-Sc1Co2Si2	icsd_624959-Sc1Co2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_623465-Lu1Co2Ge2	icsd_623465-Lu1Co2Ge2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_617507-Gd2Cr2C3	icsd_617507-Gd2Cr2C3.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_53864-U1Ni2Ge2	icsd_53864-U1Ni2Ge2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_626827-Tm1Cr2Si2	icsd_626827-Tm1Cr2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610297-Cs1As2Ru2	icsd_610297-Cs1As2Ru2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_638423-Zr2H3Pd1	icsd_638423-Zr2H3Pd1.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_69683-Rb2Co1F4	icsd_69683-Rb2Co1F4.sh	?
